scheme,alpha,beta,r_squared,observations
119598,0.3033696538698332,-0.02319606204405971,0.00014142575502721738,1149
149324,0.3005787817097677,0.011455159960520695,3.532990626795555e-05,1149
120505,0.2926358334175106,0.000549004250631731,1.3455341675669786e-07,1149
148569,0.2827036785246582,0.01813388408385925,0.0001748888656812956,1149
120843,0.27330465038306057,-0.02282956979242654,0.00034305434271514486,1149
100033,0.2719535450128533,0.005103525830528313,1.2066520635068172e-05,1149
148567,0.2698375144191807,0.023683558075848616,0.00046254369066238443,1149
149323,0.26598577542043045,-0.002523004664699212,3.3579781920087663e-06,1149
119094,0.2607666908004223,-0.0662654286280376,0.0019368789369602333,1149
119551,0.23201007160635082,-0.03175144113890976,0.0008869788879322828,1149
118632,0.21829397904608644,-0.008353832126962014,5.791756270127824e-05,1149
101206,0.21399784776051212,0.02108631625012804,0.0003480482030714255,1149
120504,0.2119482701352573,0.016232169761417024,0.00021216129075887503,1149
148568,0.20873010086942337,-0.02638771994384303,0.00048592647527973253,1149
119552,0.1986859936686296,-0.02615930751351341,0.0005850821704543429,1149
125497,0.17729754927531766,0.048820404259577385,0.0018401792783071574,1149
120503,0.17703302365844073,-0.0402689523698206,0.001397444608331861,1149
118634,0.1750072167561127,0.10349663691337589,0.0027930065610663234,1149
102885,0.17048756803412696,-0.019486785689474536,0.0003828503073092387,1149
120506,0.1625385327998104,0.04189646272811975,0.0012571178108220728,1149
102887,0.16211256794033255,0.016682689437770806,0.00018619166432850125,1149
118633,0.15643835948169668,-0.03663900671860934,0.0011382947171084277,1149
118635,0.1513635464823924,-0.001433521389780139,2.0253408972328594e-06,1149
149322,0.13173190226099432,-0.004050271130006511,1.322760788085031e-05,1149
120841,0.13042924450705445,0.0363563990221998,0.0012113711061211869,1149
125498,0.11989100971217971,0.009054412621739139,4.043746553634231e-05,1149
101207,0.10897091901704538,-0.06528924788351526,0.0010641052735572626,1149
119093,0.08232801295222093,0.02588321244009315,0.000569203809024487,1149
120842,0.0780443887615508,0.018056874208118162,0.00016915548838314365,1149
119092,0.0689952982167755,0.009730745001153627,8.082637693810755e-05,1149
120507,0.06746210411099539,-0.0004440926329707226,0.00013430661440679822,1149
120844,0.06455677495375998,-0.0004007442394784006,0.00010125435692271745,1149
101208,0.060861457957871144,0.00026670968338238335,4.6076236771051994e-05,1149
119120,0.05620895216638369,-0.006413850728276476,0.00043426033217200524,1149
118636,0.05074772999976104,0.0012566742731558475,1.6516652310332796e-05,1149
119599,0.048824215945539845,0.06200180438267164,0.001025920532676595,1149
119095,0.04801595363775955,-0.06695117463929198,0.0011851593464486706,1149
100025,0.042817920315060876,0.0011582183155281417,1.4612842041844915e-05,1149
100016,0.03747580763443281,-0.05826843143880891,0.002665032698133324,1149
102886,0.02896939786637944,-0.04212502902189429,0.0008964294600687565,1149
