scheme,benchmark,tracking_error,tracking_error_percent,observations
101208,NIFTY100,0.1289568921773665,12.89568921773665,1149
120507,NIFTY100,0.1290435755950335,12.90435755950335,1149
120844,NIFTY100,0.12904556781048557,12.904556781048557,1149
100025,NIFTY100,0.1345351441558559,13.453514415585591,1149
118636,NIFTY100,0.1347582682889032,13.47582682889032,1149
119120,NIFTY100,0.13564645267040476,13.564645267040476,1149
118635,NIFTY100,0.18307639338664936,18.307639338664934,1149
120841,NIFTY100,0.18311878418576322,18.31187841857632,1149
102885,NIFTY100,0.18368034296960942,18.368034296960943,1149
119093,NIFTY100,0.1878998377218692,18.78998377218692,1149
119092,NIFTY100,0.18908165842556626,18.908165842556627,1149
148567,NIFTY100,0.1896636779215802,18.96636779215802,1149
125497,NIFTY100,0.19107208897596129,19.107208897596127,1149
119551,NIFTY100,0.1911825685163082,19.118256851630818,1149
120504,NIFTY100,0.1915870037972257,19.15870037972257,1149
118632,NIFTY100,0.19211519250390102,19.2115192503901,1149
119552,NIFTY100,0.19212721030300678,19.212721030300678,1149
101206,NIFTY100,0.1927064051369653,19.27064051369653,1149
120503,NIFTY100,0.19294776031543664,19.294776031543666,1149
149322,NIFTY100,0.19326406331048715,19.326406331048716,1149
118633,NIFTY100,0.19344939246000745,19.344939246000745,1149
120506,NIFTY100,0.19600483949857456,19.600483949857455,1149
100016,NIFTY100,0.19928360293890288,19.928360293890286,1149
102887,NIFTY100,0.20221623215661824,20.221623215661825,1149
148568,NIFTY100,0.20321345225145676,20.321345225145677,1149
120843,NIFTY100,0.20642496841144062,20.642496841144062,1149
148569,NIFTY100,0.21736518889258571,21.736518889258573,1149
120842,NIFTY100,0.21916937594238353,21.91693759423835,1149
149323,NIFTY100,0.21952116319885415,21.952116319885416,1149
125498,NIFTY100,0.2235920824296721,22.35920824296721,1149
102886,NIFTY100,0.22560814215136638,22.560814215136638,1149
100033,NIFTY100,0.22869942052083106,22.869942052083108,1149
120505,NIFTY100,0.2319675096004632,23.19675096004632,1149
119094,NIFTY100,0.23765197701108368,23.765197701108367,1149
119599,NIFTY100,0.2771351379626376,27.71351379626376,1149
118634,NIFTY100,0.2772863739829558,27.72863739829558,1149
149324,NIFTY100,0.27917030841826745,27.917030841826744,1149
119598,NIFTY100,0.2838814541332667,28.388145413326672,1149
119095,NIFTY100,0.2857813336985091,28.57813336985091,1149
101207,NIFTY100,0.2921174251929163,29.21174251929163,1149
