scheme,mean_daily_return,daily_std,sharpe_ratio,Sharpe_Rank
148567,0.001073675403449081,0.008941194822595982,1.46250402900308,1.0
120843,0.001081754914045031,0.01000786081516778,1.3194419817117222,2.0
148569,0.0011240540293206527,0.011133577708427348,1.2463441409620546,3.0
119551,0.0009167982325947294,0.00865628985637757,1.222947214685128,4.0
120505,0.0011613203372383767,0.012152155877011201,1.1905585963067509,5.0
149323,0.0010551910655344048,0.011179029641055082,1.1434895599140866,6.0
100033,0.0010798038431409668,0.011929006552266409,1.1043517629506803,7.0
118632,0.0008652259973214283,0.008912624198545502,1.0959175992660923,8.0
101206,0.0008517723174694551,0.009177111485957212,1.0410608155745142,9.0
120504,0.0008430464116382315,0.009048331253878,1.0405688566490552,10.0
119094,0.0010266978562569042,0.012225334849231497,1.008625789131447,11.0
119552,0.0007852425930349881,0.008780976223037766,0.9677516848309506,12.0
149324,0.0011941715475284602,0.01564785832374583,0.9579170598994395,13.0
119598,0.0012010157369980656,0.01583707591818766,0.9533324621776287,14.0
148568,0.0008250722735460028,0.009719447430866657,0.9393621577599311,15.0
120507,0.0002676525413793258,0.0003111357089670824,0.9041623305389642,16.0
102885,0.0006741587522893979,0.008086315812687745,0.8328147683762688,17.0
120503,0.000697595408431375,0.008746373512793112,0.8125023019488139,18.0
125497,0.0007095223731125696,0.009240517486188763,0.7895427197023165,19.0
118635,0.000600473969875538,0.008178621336543391,0.6803950621402518,20.0
120506,0.0006501094769466271,0.009594323495169223,0.6621241011051734,21.0
118633,0.0006163137445172902,0.008817415800853679,0.6596198173038668,22.0
102887,0.000645340694310669,0.009926838079358374,0.632319243278044,23.0
120841,0.0005220152587214266,0.008481394140912233,0.5092559163430059,24.0
149322,0.0005222511308194414,0.009042081769919406,0.4780917280523983,25.0
118634,0.0007071093821003067,0.015900663604058236,0.4564261243061777,26.0
125498,0.00047686346287115325,0.011560944277330922,0.31160409740522227,27.0
120844,0.0002561287499929851,0.0003233593463542916,0.30425182333434436,28.0
101207,0.0004244528681492361,0.016250785494711695,0.17048069518831582,29.0
119093,0.00032985864437101356,0.008808648249969932,0.14404122210428397,30.0
120842,0.0003119045881482731,0.011272610878515414,0.08727318479040212,31.0
119092,0.0002749789297660477,0.008788090603213448,0.04524532299034367,32.0
119599,0.00020131692580289563,0.015717101489290827,-0.049101169454301964,33.0
119095,0.00018236517391230026,0.015790461312930562,-0.0679256784693741,34.0
119120,0.00022226830595075775,0.0024990143961777056,-0.17572336328229415,35.0
100016,0.00014159930699210853,0.009164463506291045,-0.18765046878624,36.0
102886,0.0001098147223397074,0.011423709289098149,-0.1947073805832031,37.0
118636,0.00020153331311365723,0.002510653047599153,-0.30601321923949243,38.0
101208,0.00024154628565905978,0.00031902540821652614,-0.41722938246152713,39.0
100025,0.00017005379350090052,0.0024600734466666972,-0.5154378235861931,40.0
