amfi_code,alpha,beta,r_value,p_value,stderr
100016,0.03747580763443281,-0.05826843143880891,-0.05162395469288772,0.08026442483699604,0.033282877789576594
100025,0.042817920315060876,0.0011582183155281417,0.0038226747235208117,0.8970124515162728,0.008946191727361887
100033,0.2719535450128533,0.005103525830528313,0.0034736897724276087,0.9063691402409378,0.0433805404268303
101206,0.21399784776051212,0.02108631625012804,0.01865605003936861,0.5275509209180673,0.03336750375157688
101207,0.10897091901704538,-0.06528924788351526,-0.032620626504671284,0.26923382859979944,0.05906585139524708
101208,0.060861457957871144,0.00026670968338238335,0.00678794790574088,0.8182140691419653,0.00116013510548464
102885,0.17048756803412696,-0.019486785689474536,-0.019566560947423508,0.5075948866942018,0.02940091517888597
102886,0.02896939786637944,-0.04212502902189429,-0.029940431861761055,0.31057770814660474,0.04152462310680976
102887,0.16211256794033255,0.016682689437770806,0.013645206642938803,0.6440466770890056,0.03609639283424432
118632,0.21829397904608644,-0.008353832126962014,-0.007610358907520607,0.7966457465470187,0.03241054388354019
118633,0.15643835948169668,-0.03663900671860934,-0.0337386235212468,0.25315678850632356,0.032046994367127025
118634,0.1750072167561127,0.10349663691337589,0.052848903120749094,0.07333892285784306,0.05774324797224455
118635,0.1513635464823924,-0.001433521389780139,-0.0014231447211133727,0.9615666405413442,0.029742191292994238
118636,0.05074772999976104,0.0012566742731558475,0.004064068443116183,0.890548686413759,0.009130118523202281
119092,0.0689952982167755,0.009730745001153627,0.008990349099901936,0.7608083592013822,0.03195731437489774
119093,0.08232801295222093,0.02588321244009315,0.023857992560659562,0.4191212046285578,0.03202424744940539
119094,0.2607666908004223,-0.0662654286280376,-0.044009986786640067,0.13598752352498455,0.04441534793764907
119095,0.04801595363775955,-0.06695117463929198,-0.03442614335717364,0.24360834209000373,0.0573892583623687
119120,0.05620895216638369,-0.006413850728276476,-0.02083891389137172,0.48038566300028673,0.009085895556734057
119551,0.23201007160635082,-0.03175144113890976,-0.029782190784633067,0.313143027230845,0.031465337983741765
119552,0.1986859936686296,-0.02615930751351341,-0.024188471850332814,0.41270558180205413,0.031923390924810474
119598,0.3033696538698332,-0.02319606204405971,-0.011892256094922333,0.6871791461096045,0.05758874143280733
119599,0.048824215945539845,0.06200180438267164,0.03202999426594696,0.2780039623382625,0.057127190819840454
120503,0.17703302365844073,-0.0402689523698206,-0.037382410413613794,0.2054374518341153,0.03178466640024183
120504,0.2119482701352573,0.016232169761417024,0.014565757472883963,0.6218551541356451,0.03290150146588935
120505,0.2926358334175106,0.000549004250631731,0.00036681523517528256,0.9900902356906137,0.044192299843648974
120506,0.1625385327998104,0.04189646272811975,0.035455857214599575,0.22978488107543144,0.03486859975375099
120507,0.06746210411099539,-0.0004440926329707226,-0.011589073060723978,0.6947484438507021,0.0011313943164611136
120841,0.13042924450705445,0.0363563990221998,0.0348047569467334,0.2384593087156638,0.030824592340953673
120842,0.0780443887615508,0.018056874208118162,0.013005978947512703,0.6596465767530766,0.04099029861586007
120843,0.27330465038306057,-0.02282956979242654,-0.0185217262347532,0.5305284121437438,0.03638815632934552
120844,0.06455677495375998,-0.0004007442394784006,-0.010062522393650483,0.7333100820090803,0.0011758630169772715
125497,0.17729754927531766,0.048820404259577385,0.04289731085169742,0.14617594874598647,0.03357296026148678
125498,0.11989100971217971,0.009054412621739139,0.00635904596117549,0.8295182110189222,0.04204146371813351
148567,0.2698375144191807,0.023683558075848616,0.021506828930885753,0.4664265197542749,0.03250786112917388
148568,0.20873010086942337,-0.02638771994384303,-0.02204374004745412,0.4553703178741982,0.03533697205783346
148569,0.2827036785246582,0.01813388408385925,0.013224555405808379,0.6542952865906952,0.040484619877281615
149322,0.13173190226099432,-0.004050271130006511,-0.0036369778499257197,0.901989502440503,0.032882047999788507
149323,0.26598577542043045,-0.002523004664699212,-0.0018324787016521546,0.9505247706268669,0.04065338188780854
149324,0.3005787817097677,0.011455159960520695,0.005943896555960202,0.8404935891843303,0.056903703736950015
