,count,mean,std,min,25%,50%,75%,max,skew,kurtosis,nan_pct,pct_negative
100016,1149.0,0.00014159930699210864,0.009164463506291005,-0.0247441950241948,-0.00628173897159,-7.005935858372947e-05,0.0065227878272897,0.0321449948483414,0.12073434858118486,-0.09298384665946235,0.0008695652173913044,0.5034782608695653
100025,1149.0,0.00017005379350089824,0.0024600734466666586,-0.0081882334258576,-0.0014451924484121,9.90099009900991e-05,0.0018235582269292,0.0088373201939124,-0.019536958922864577,0.25309052245004304,0.0008695652173913044,0.47739130434782606
100033,1149.0,0.0010798038431409653,0.011929006552266372,-0.0442375663259545,-0.0066539452617032,0.0010861567900384,0.0088438407742026,0.0419539131278186,-0.008775879064255856,0.08840198345218031,0.0008695652173913044,0.4678260869565217
101206,1149.0,0.0008517723174694528,0.009177111485957174,-0.0381213537418384,-0.005733346935917,0.000808214576101,0.0071648688908416,0.0339559924621915,0.059165413380202043,0.2959488652225839,0.0008695652173913044,0.46869565217391307
101207,1149.0,0.0004244528681492355,0.016250785494711657,-0.0518465873544177,-0.010798530069027,0.0001817146398723,0.0112859651492638,0.0548508548884889,0.021220886785266256,-0.1171979982830682,0.0008695652173913044,0.49391304347826087
101208,1149.0,0.00024154628565903447,0.0003190254082164959,-0.0007660035078232,2.0056602818563363e-05,0.0002486988653305,0.0004564495112548,0.0012472622638639,-0.038524392577864566,-0.057897605887655246,0.0008695652173913044,0.22695652173913045
102885,1149.0,0.0006741587522893951,0.008086315812687705,-0.0211044598818357,-0.0049307651004679,0.0006317905386254,0.0060763127792198,0.0255650866532144,0.06264509927070637,-0.1523058494845495,0.0008695652173913044,0.46695652173913044
102886,1149.0,0.00010981472233970669,0.01142370928909811,-0.03669488588544,-0.0080964210138927,0.0004720368516024,0.0081078155822842,0.0407446046451251,-0.019584802480444984,-0.14007933245093618,0.0008695652173913044,0.4860869565217391
102887,1149.0,0.0006453406943106673,0.009926838079358336,-0.0312713385660484,-0.0062765921576316,0.0003895345799953,0.0071766799133521,0.0323858680349025,0.096589166971223,-0.02731469374968709,0.0008695652173913044,0.4834782608695652
118632,1149.0,0.0008652259973214253,0.008912624198545462,-0.0284902628676873,-0.005285279769875,0.0009691160632647,0.0071522098369993,0.0282179481016076,-0.021554411039672376,-0.05720533198132527,0.0008695652173913044,0.46260869565217394
118633,1149.0,0.0006163137445172878,0.00881741580085364,-0.0254020771737651,-0.0053482685746846,0.0003746334079655,0.0066575841010643,0.0359126576453427,0.17779511950384677,0.08541233813333893,0.0008695652173913044,0.48
118634,1149.0,0.0007071093821003038,0.0159006636040582,-0.0581020139491891,-0.0102060485002469,0.0009212336020882,0.0114746486865904,0.0593043134939952,-0.03669895251473941,0.019893838717696788,0.0008695652173913044,0.4817391304347826
118635,1149.0,0.0006004739698755356,0.008178621336543353,-0.0254659825665055,-0.0050583333102541,0.0004935448208374,0.0061369176274408,0.0305474284649511,-0.0008174487123265835,-0.08289040319586682,0.0008695652173913044,0.48
118636,1149.0,0.00020153331311365303,0.0025106530475991133,-0.0088827735969149,-0.0015346496957058,0.0001540203360888,0.0019175934514494,0.0077079260039103,-0.0009846656051190348,-0.07733925713251821,0.0008695652173913044,0.4782608695652174
119092,1149.0,0.00027497892976604643,0.008788090603213406,-0.0233833941301579,-0.0058663382381538,0.0002513442908749,0.0062114526519811,0.033625879278559,0.07141450976698807,-0.041105780836984795,0.0008695652173913044,0.48434782608695653
119093,1149.0,0.0003298586443710108,0.008808648249969893,-0.0294956384925516,-0.0057205853422904,0.0005077829988064,0.0065347353246698,0.0305579249325078,0.0031289338676895513,-0.04954058713040643,0.0008695652173913044,0.4817391304347826
