amfi_code,cagr_1y,cagr_3y,cagr_5y,sharpe,sortino,max_drawdown,mdd_start,mdd_end,tracking_error_nifty50,tracking_error_nifty100,scheme_name,expense_ratio_pct,rank_cagr_3y,rank_sharpe,rank_alpha,rank_expense,rank_mdd,score_cagr_3y,score_sharpe,score_alpha,score_expense,score_mdd,fund_score
120505,0.29627681171526876,0.3176924285223732,,1.1801011976606492,2.0293529404657464,-0.18188513572116294,2024-10-24,2025-01-23,0.23312357538323944,0.2319675096004632,ICICI Pru Midcap Fund - Regular - Growth,1.36,5.0,5.0,3.0,15.0,16.0,89.74358974358975,89.74358974358975,94.87179487179486,64.1025641025641,61.53846153846154,84.10256410256412
119094,0.22277897154308546,0.35102527889035406,,0.9982309868636413,1.7037974802463003,-0.20960883862039192,2022-04-14,2022-08-11,0.2370710907370954,0.23765197701108368,Axis Midcap Fund - Regular - Growth,1.38,1.0,11.0,9.0,16.0,13.0,100.0,74.35897435897436,79.48717948717949,61.53846153846154,69.23076923076923,80.64102564102564
100033,0.5327719549540499,0.3243397122906222,,1.093698743534631,1.8291339615146942,-0.16217208574644848,2022-03-11,2022-05-12,0.2297551098545287,0.22869942052083106,HDFC Mid-Cap Opportunities Fund - Regular - Growth,1.38,4.0,7.0,6.0,16.0,21.0,92.3076923076923,84.61538461538461,87.17948717948718,61.53846153846154,48.717948717948715,80.38461538461537
148567,0.2037595706234765,0.33991970400445304,,1.4482911703262598,2.3856443733688186,-0.11265729075028275,2023-07-11,2023-10-20,0.19399579209820508,0.1896636779215802,Mirae Asset Large Cap Fund - Regular - Growth,1.46,2.0,1.0,7.0,23.0,33.0,97.43589743589743,100.0,84.61538461538461,43.58974358974359,17.94871794871795,79.48717948717947
120843,0.2667758391882715,0.2957511058901836,,1.3067439695428409,2.3643200321667184,-0.1297396816518679,2022-03-07,2022-04-13,0.20514776699717424,0.20642496841144062,Kotak Flexicap Fund - Regular - Growth,1.45,7.0,2.0,5.0,22.0,28.0,84.61538461538461,97.43589743589743,89.74358974358975,46.15384615384615,30.76923076923077,77.6923076923077
120504,0.13073788394478303,0.32478927222623,,1.0265242847993001,1.8052937940992548,-0.12588275606922517,2022-10-04,2023-05-30,0.19137581549582713,0.1915870037972257,ICICI Pru Bluechip Fund - Direct - Growth,0.8,3.0,10.0,13.0,12.0,29.0,94.87179487179486,76.92307692307693,69.23076923076923,71.7948717948718,28.205128205128204,75.12820512820512
119598,0.8285157468100046,0.2666309129954312,,0.9453082575156095,1.6753165700125519,-0.2870600572176455,2024-08-28,2025-05-14,0.27803293056948225,0.2838814541332667,SBI Small Cap Fund - Regular Plan - Growth,1.43,12.0,14.0,1.0,21.0,5.0,71.7948717948718,66.66666666666666,100.0,48.717948717948715,89.74358974358975,74.48717948717949
149324,0.6519546577826334,0.2699350260734621,,0.9497958246616031,1.6197931764914093,-0.31171900300634214,2024-05-03,2025-01-03,0.2717887721093627,0.27917030841826745,DSP Small Cap Fund - Regular - Growth,1.52,10.0,13.0,2.0,26.0,4.0,76.92307692307693,69.23076923076923,97.43589743589743,35.8974358974359,92.3076923076923,74.48717948717949
148569,0.3978380253854239,0.2917135767741186,,1.2349300257743294,2.146913926346055,-0.1639674294693263,2023-08-10,2023-10-20,0.21938892755969008,0.21736518889258571,Mirae Asset Tax Saver Fund - Regular - Growth,1.6,8.0,3.0,4.0,36.0,20.0,82.05128205128204,94.87179487179486,92.3076923076923,10.256410256410255,51.28205128205128,73.46153846153845
119551,0.6048929711840034,0.3044861306002782,,1.2082665673727175,2.140267129061793,-0.1501238549864533,2023-08-24,2024-02-05,0.19311962181514383,0.1911825685163082,SBI Bluechip Fund - Regular Plan - Growth,1.54,6.0,4.0,10.0,30.0,24.0,87.17948717948718,92.3076923076923,76.92307692307693,25.64102564102564,41.02564102564102,72.56410256410255
118632,0.340078958236512,0.22646647456747715,,1.0816591793457042,1.850132546855726,-0.17414075086657232,2024-01-02,2024-07-19,0.18806323287107515,0.19211519250390102,Nippon India Large Cap Fund - Regular - Growth,1.51,14.0,8.0,11.0,24.0,18.0,66.66666666666666,82.05128205128204,74.35897435897436,41.02564102564102,56.41025641025641,67.17948717948718
149323,0.21497414349538224,0.26863103668817145,,1.1321218524747243,1.8751010639192083,-0.17248105753451382,2022-06-06,2022-10-24,0.21893853284063108,0.21952116319885415,DSP Midcap Fund - Regular - Growth,1.61,11.0,6.0,8.0,38.0,19.0,74.35897435897436,87.17948717948718,82.05128205128204,5.128205128205128,53.84615384615385,66.66666666666666
